type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,title
white,6.8,0.26,0.42,1.7,0.049,41.0,122.0,0.993,3.47,0.48,10.5,8,Château Gaudin 2012  Pauillac
white,7.6,0.67,0.14,1.5,0.074,25.0,168.0,0.9937,3.05,0.51,9.3,5,Torii Mor 2013 Yamhill Carlton Select Pinot Noir
white,6.6,0.27,0.41,1.3,0.052,16.0,142.0,0.9951,3.42,0.47,10.0,6,Robert Oatley 2015 G-S-M (McLaren Vale)
white,7.0,0.25,0.32,9.0,0.046,56.0,245.0,0.9955,3.25,0.5,10.4,6,Rasa 2014 For the Love of the Game Cabernet Sauvignon (Horse Heaven Hills)
white,6.9,0.24,0.35,1.0,0.052,35.0,146.0,0.993,3.45,0.44,10.0,6,Conde de Velázquez 2013 El Conde Gran Reserva Malbec (Aconcagua Valley)
white,7.0,0.28,0.39,8.7,0.051,32.0,141.0,0.9961,3.38,0.53,10.5,6,David Hill 2012 Estate Reserve Pinot Noir (Willamette Valley)
white,7.4,0.27,0.48,1.1,0.047,17.0,132.0,0.9914,3.19,0.49,11.6,6,Alma Fria 2012 Holtermann Vineyard Pinot Noir (Sonoma Coast)
white,7.2,0.32,0.36,2.0,0.033,37.0,114.0,0.9906,3.1,0.71,12.3,7,Alidis 2003 Reserva  (Ribera del Duero)
white,8.5,0.24,0.39,10.4,0.044,20.0,142.0,0.9974,3.2,0.53,10.0,6,Rebusity 2012 Chardonnay (California)
white,8.3,0.14,0.34,1.1,0.042,7.0,47.0,0.9934,3.47,0.4,10.2,6,Artadi 2013 El Sequé Monastrell (Alicante)
white,7.4,0.25,0.36,2.05,0.05,31.0,100.0,0.992,3.19,0.44,10.8,6,Illuminati Dino 2008 Riserva Lumen Red (Controguerra)
white,6.2,0.12,0.34,,0.045,43.0,117.0,0.9939,3.42,0.51,9.0,6,Damian Rae 2009 Cabernet Sauvignon (Napa Valley)
white,5.8,0.27,0.2,14.95,0.044,22.0,179.0,0.9962,3.37,0.37,10.2,5,Château Fourcas Hosten 2006  Listrac-Médoc
white,7.3,0.28,0.43,1.7,0.08,21.0,123.0,0.9905,3.19,0.42,12.8,5,Wines & Winemakers 2010 Monte da Baía Reserva Red (Península de Setúbal)
white,6.5,0.39,0.23,5.4,0.051,25.0,149.0,0.9934,3.24,0.35,10.0,5,Fox Run 2016 Dry Rosé (Finger Lakes)
white,7.0,0.33,0.32,1.2,0.053,38.0,138.0,0.9906,3.13,0.28,11.2,6,Banfi 2010  Chianti Classico
white,7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6,5,Tamber Bey 2014 Trio Vineyard Chardonnay (Yountville)
white,7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6,5,Caruso & Minini 2011 Isula Catarratto (Sicilia)
white,6.7,0.23,0.39,2.5,0.172,63.0,158.0,0.9937,3.11,0.36,9.4,6,Cambridge & Sunset 2013 California Series Cabernet Sauvignon (California)
white,6.7,0.24,0.39,2.9,0.173,63.0,157.0,0.9937,3.1,0.34,9.4,6,Flora Springs 2008 Wild Boar Vineyard Cabernet Sauvignon (Napa Valley)
white,7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.9954,3.13,0.46,9.8,6,Magistrate 2011 Limited Production Merlot (Central Coast)
white,6.6,0.24,0.27,1.4,0.057,33.0,152.0,0.9934,3.22,0.56,9.5,6,Santa Barbara Winery 2014 Pinot Noir (Santa Barbara County)
white,6.7,0.23,0.26,1.4,0.06,33.0,154.0,0.9934,3.24,0.56,9.5,6,Siegel 2010 Crucero Syrah (Colchagua Valley)
white,7.4,0.18,0.31,1.4,0.058,38.0,167.0,0.9931,3.16,0.53,10.0,7,Allram 2015 Gaisberg Grüner Veltliner (Kamptal)
white,6.2,0.45,0.26,4.4,0.063,63.0,206.0,0.994,3.27,0.52,9.8,4,Quinta de Santiago 2014 Reserva Alvarinho (Vinho Verde)
white,6.2,0.46,0.25,4.4,0.066,62.0,207.0,0.9939,3.25,0.52,9.8,5,Midnight 2006 Mare Nectaris Red (Paso Robles)
white,7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.9954,3.13,0.46,9.8,6,Viszlay Vineyards 2013 Estate Petite Sirah (Russian River Valley)
white,6.9,0.19,0.35,5.0,0.067,32.0,150.0,0.995,3.36,0.48,9.8,5,Jean-Marc Brocard 2012 Vaulorent Premier Cru  (Chablis)
white,7.2,0.19,0.31,1.6,0.062,31.0,173.0,0.9917,3.35,0.44,11.7,6,Domaine Daniel Dugois 2011 Auréoline Savagnin (Arbois)
white,6.6,0.25,0.29,1.1,0.068,39.0,124.0,0.9914,3.34,0.58,11.0,7,Portal del Montsant 2010 Brunus Red (Montsant)
white,6.2,0.16,0.33,1.1,0.057,21.0,82.0,0.991,3.32,0.46,10.9,7,Thomas Fogarty 2012 Portola Springs Vineyard Chardonnay (Santa Cruz Mountains)
white,6.4,0.18,0.35,1.0,0.045,39.0,108.0,0.9911,3.31,0.35,10.9,6,Perlage NV Canah Brut  (Conegliano Valdobbiadene Prosecco Superiore)
white,6.8,0.2,0.59,0.9,0.147,38.0,132.0,0.993,,0.38,9.1,6,Lynmar 2010 Quail Hill Vineyard Lynn's Blend Pinot Noir (Russian River Valley)
white,6.9,0.25,0.35,1.3,0.039,29.0,191.0,0.9908,3.13,0.52,11.0,6,Moniker 2014 Cabernet Sauvignon (Mendocino County)
white,7.2,0.21,0.34,11.9,0.043,37.0,213.0,0.9962,3.09,0.5,9.6,6,Von Strasser 2012 Vineyard 2131 Cabernet Sauvignon (Diamond Mountain District)
white,6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,6,Sutcliffe 2011 Pinot Noir (Los Carneros)
white,6.6,0.38,0.15,4.6,0.044,25.0,78.0,0.9931,3.11,0.38,10.2,6,Ronco Blanchis 2013 Friulano (Collio)
white,7.4,0.2,0.36,1.2,0.038,44.0,111.0,0.9926,3.36,0.34,9.9,6,Ventisquero 2015 Kalfu Sumpai Sauvignon Blanc (Chile)
white,6.8,0.22,0.24,4.9,0.092,30.0,123.0,0.9951,3.03,0.46,8.6,6,Harbes Family Vineyard 2015 White (New York)
white,6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,6,Portalupi 2012 Il Migliore Pinot Noir (Russian River Valley)
white,7.0,0.47,0.07,1.1,0.035,17.0,151.0,0.991,3.02,0.34,10.5,5,Helwig 2013 Dusty Trail Syrah (Shenandoah Valley (CA))
white,6.6,0.38,0.15,4.6,0.044,25.0,78.0,0.9931,3.11,0.38,10.2,6,Marchesato degli Aleramici 2009 Riserva  (Brunello di Montalcino)
white,7.2,0.24,0.27,1.4,0.038,31.0,122.0,0.9927,3.15,0.46,10.3,6,Henry Estate 2014 Müller-Thurgau (Umpqua Valley)
white,6.2,0.35,0.03,1.2,0.064,29.0,120.0,0.9934,3.22,0.54,9.1,5,Jean-Baptiste Adam 2016 Les Natures Gewurztraminer (Alsace)
white,6.4,0.26,0.24,6.4,0.04,27.0,124.0,0.9903,3.22,0.49,12.6,7,R2 2012 3BB Pinot Noir (Sonoma Coast)
white,6.7,0.25,0.13,1.2,0.041,81.0,174.0,0.992,3.14,0.42,9.8,5,Petaluma 2012 Hanlin Hill Riesling (Clare Valley)
white,6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,8,Château Coudray Montpensier 2012 Le Grand Bouqueteau Réserve  (Chinon)
white,7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,0.35,9.5,5,Kynsi 2011 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley)
white,6.2,0.27,0.43,7.8,0.056,48.0,244.0,0.9956,3.1,0.51,9.0,6,Rôtie Cellars 2011 Southern Blend Red (Washington)
white,6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5,Lionel Osmin & Cie 2012 Villa de Cocagne Red (Vin de France)
white,6.0,0.27,0.28,4.8,0.063,31.0,201.0,0.9964,3.69,0.71,10.0,5,Testarossa 2013 Diana's Chardonnay (California)
white,8.6,0.23,0.46,1.0,0.054,9.0,72.0,0.9941,2.95,0.49,9.1,6,Domaine Barmès-Buecher 2014 Vieilles Vignes Pinot Noir (Alsace)
white,6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,8,Waterbrook 2013 Mélange White Varietal Blend White (Columbia Valley (WA))
white,7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,0.35,9.5,5,Brander 2015 Tierra Alta Vineyard Sauvignon Blanc (Ballard Canyon)
white,7.1,0.18,0.36,1.4,0.043,31.0,87.0,0.9898,3.26,0.37,12.7,7,Scott Harvey 2007 Mountain Selection Barbera (Amador County)
white,7.0,0.32,0.34,1.3,0.042,20.0,69.0,0.9912,3.31,0.65,12.0,7,Chamlija 2014 Papaskarasi (Thrace)
white,7.4,0.18,0.3,8.8,0.064,26.0,103.0,0.9961,2.94,0.56,9.3,5,Ca' Momi 2007 Zinfandel (Napa Valley)
white,6.7,0.54,0.28,5.4,0.06,21.0,105.0,0.9949,3.27,0.37,9.0,5,Penfolds 1998 Bin 128 Shiraz (Coonawarra)
white,6.8,0.22,0.31,1.4,0.053,34.0,114.0,0.9929,3.39,0.77,10.6,6,Chessman 2013 Pinot Noir (Santa Maria Valley)
white,7.1,0.2,0.34,16.0,0.05,51.0,166.0,0.9985,3.21,0.6,9.2,6,Drappier NV Carte d'Or Brut  (Champagne)
white,7.1,0.34,0.2,6.1,0.063,47.0,164.0,0.9946,3.17,0.42,10.0,5,Williams Selyem 2005 Bucher Vineyard Pinot Noir (Russian River Valley)
white,7.3,0.22,0.3,8.2,0.047,42.0,207.0,0.9966,3.33,0.46,9.5,6,Travaglini 2013 Nebbiolo (Coste della Sesia)
white,7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,5,Schwarzböck 2015 Ried Aichleiten Reserve Grüner Veltliner (Weinviertel)
white,7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,3.12,0.46,8.7,6,Epiphany 2012 Rodney's Vineyard Petite Sirah (Santa Barbara County)
white,7.2,,0.63,11.0,0.044,55.0,156.0,0.9974,3.09,0.44,8.7,6,One Hope 2009 Merlot (California)
white,6.8,0.25,0.31,13.3,0.05,69.0,202.0,0.9972,3.22,0.48,9.7,6,Château la Verrière 2012  Bordeaux Supérieur
white,7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,5,Standing Stone 2006 Reserve Chardonnay (Finger Lakes)
white,7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,3.12,0.46,8.7,6,Goyette 2013 Meritage (Sonoma County)
white,7.2,0.39,0.63,11.0,0.044,55.0,156.0,0.9974,3.09,0.44,8.7,6,Michele Taliano 2006 Roche dra Bossora Riserva  (Roero)
white,6.1,0.27,0.43,7.5,0.049,65.0,243.0,0.9957,3.12,0.47,9.0,5,Domaine Sainte-Marie 2011 VieVité Rosé (Côtes de Provence)
white,6.9,0.24,0.33,1.7,0.035,47.0,136.0,0.99,3.26,0.4,12.6,7,Pol Roger 1999 Extra Cuvée de Réserve Blanc de Blancs Brut Chardonnay (Champagne)
white,6.9,0.21,0.33,1.8,0.034,48.0,136.0,0.9899,3.25,0.41,12.6,7,Clos des Rocs 2012 Clos des Rocs Monopole  (Pouilly-Loché)
white,7.5,0.17,0.32,1.7,0.04,51.0,148.0,0.9916,3.21,0.44,11.5,7,Coffele 2015 Castel Cerino  (Soave Classico)
white,7.1,0.26,0.29,12.4,0.044,62.0,240.0,0.9969,3.04,0.42,9.2,6,Mascota 2015 La Mascota Malbec (Mendoza)
white,6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,3.14,0.5,8.8,6,Simone 2008 Special Reserve Sauvignon Blanc (Maule Valley)
white,8.6,0.265,0.36,1.2,0.034,15.0,80.0,0.9913,2.95,0.36,11.4,7,Castello Montauto 2015  Vernaccia di San Gimignano
white,9.8,0.36,0.46,10.5,,4.0,83.0,0.9956,2.89,0.3,10.1,4,Andeluna 2013 1300 Chardonnay (Uco Valley)
white,6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,3.14,0.5,8.8,6,Terre di San Venanzio Fortunato NV Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore)
white,7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.9975,3.0,0.44,9.1,5,William Fèvre 2011 Gran Cuvee Pinot Noir (Maipo Valley)
white,7.1,0.12,0.32,9.6,0.054,64.0,162.0,0.9962,3.4,0.41,9.4,5,Convento San Francisco 2008  Ribera del Duero
white,6.0,0.21,0.24,12.1,0.05,55.0,164.0,0.997,3.34,0.39,9.4,5,Château Tour des Gendres 2011 Moulin des Dames White (Bergerac Sec)
white,7.5,0.305,0.4,18.9,0.059,44.0,170.0,1.0,2.99,0.46,9.0,5,Buty 2008 Phinny Hill Vineyard Columbia Rediviva Cabernet Sauvignon-Syrah (Horse Heaven Hills)
white,7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.9975,3.0,0.44,9.1,5,Tenuta di Pietra Porzia 2012 Regillo  (Frascati Superiore)
white,7.3,0.13,0.32,14.4,0.051,34.0,109.0,0.9974,3.2,0.35,9.2,6,Capestrano 2008 Passerina (Marche)
white,7.1,0.12,0.32,9.6,0.054,64.0,162.0,0.9962,3.4,0.41,9.4,5,CVNE 2004 Real de Asúa  (Rioja)
white,7.1,0.23,0.35,16.5,0.04,60.0,171.0,0.999,3.16,0.59,9.1,6,Le Bertarole 2010 Podere Cariano  (Amarone della Valpolicella Classico)
white,7.1,0.23,0.35,16.5,0.04,60.0,171.0,0.999,3.16,0.59,9.1,6,Casa Anadia 2013 Palácio Anadia Reserva Touriga Nacional (Dão)
white,6.9,0.33,0.28,1.3,0.051,37.0,187.0,0.9927,3.27,0.6,10.3,5,Vignerons de Bel Air 2011 Domaine des Ailes  (Moulin-à-Vent)
white,6.5,0.17,0.54,8.5,0.082,64.0,163.0,0.9959,2.89,0.39,8.8,6,Santa Ema 2012 Amplus One Red (Peumo)
white,7.2,0.27,0.46,18.75,0.052,45.0,255.0,1.0,3.04,0.52,8.9,5,Zusslin NV Brut Zero Sans Soufre Sparkling (Crémant d'Alsace)
white,7.2,0.31,0.5,13.3,0.056,68.0,195.0,0.9982,3.01,0.47,9.2,5,Château Durfort-Vivens 2010  Margaux
white,6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9968,3.22,0.51,9.1,5,Davies 2014 Pinot Noir (Carneros)
white,6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9968,3.22,0.51,9.1,5,Château Bourgneuf 2014  Pomerol
white,5.5,0.485,0.0,1.5,0.065,8.0,103.0,0.994,3.63,0.4,9.7,4,Bogle 2011 Merlot (California)
white,6.0,0.31,0.24,3.3,0.041,25.0,143.0,0.9914,3.31,0.44,11.3,6,Tyler Florence 2009 Blend #4 Sauvignon Blanc (Napa Valley)
white,7.0,0.14,0.4,1.7,0.035,16.0,85.0,0.9911,3.19,0.42,11.8,6,Clos LaChance 2013 Reserve Carignane (Central Coast)
white,7.2,0.31,0.5,13.3,0.056,68.0,195.0,0.9982,3.01,0.47,9.2,5,Mastroberardino 2015 Neroametà Aglianico (Campania)
white,7.3,0.32,0.48,13.3,0.06,57.0,196.0,0.9982,3.04,0.5,9.2,5,Coruce 2013 Semillon (Antelope Valley of the California High Desert)
white,5.9,0.36,0.04,5.7,0.046,21.0,87.0,0.9934,3.22,0.51,10.2,5,Pino 2015 Pinot Gris (Oregon)
white,7.8,0.24,0.32,12.2,0.054,42.0,138.0,0.9984,3.01,0.54,8.8,5,Castello della Paneretta 2012 Riserva  (Chianti Classico)
white,7.4,0.16,0.31,6.85,0.059,31.0,131.0,0.9952,3.29,0.34,9.7,5,Benessere 2010 Rosato Rosé (Napa Valley)
white,6.9,0.19,0.28,5.0,0.058,14.0,146.0,0.9952,3.29,0.36,9.1,6,Tolosa 2010 No Oak Chardonnay (Central Coast)
white,6.4,0.13,0.47,1.6,0.092,40.0,158.0,0.9928,3.21,0.36,9.8,6,Auclair 2014 Heart of the Hill Vineyard Cabernet Sauvignon (Red Mountain)
white,6.7,0.19,0.36,1.1,0.026,63.0,143.0,0.9912,3.27,0.48,11.0,6,Castello di Borghese 2007 Reserve Cabernet Sauvignon (North Fork of Long Island)
white,7.4,0.39,0.23,7.0,0.033,29.0,126.0,0.994,3.14,0.42,10.5,5,King Estate 2014 Domaine Pinot Noir (Willamette Valley)
white,6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.9958,3.45,0.54,9.7,7,Bernard Magrez 2011 Paciencia  (Toro)
white,6.1,0.3,0.56,2.8,0.044,47.0,179.0,0.9924,3.3,0.57,10.9,7,Türk 2010 Eiswein Grüner Veltliner (Niederösterreich)
white,6.1,0.3,0.56,2.7,0.046,46.0,184.0,0.9924,3.31,0.57,10.9,6,David Fulton 2009 Estate Bottled Petite Sirah (St. Helena)
white,5.7,0.26,0.25,10.4,0.02,7.0,57.0,0.994,3.39,0.37,10.6,5,Kobler 2014 Kobler Family Vineyards Viognier (Russian River Valley)
white,6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.9958,3.45,0.54,9.7,7,La Tunella 2007 Rjgialla Selènze Ribolla Gialla (Colli Orientali del Friuli)
white,6.5,0.425,0.4,13.1,0.038,59.0,241.0,0.9979,3.23,0.57,9.0,5,Lolonis 1998 Tollini Vineyard Zinfandel (Redwood Valley)
white,6.6,0.24,0.27,15.8,0.035,46.0,188.0,0.9982,3.24,0.51,9.2,5,Domaine Laleure-Piot 2014 Les Champs Longs  (Chorey-lès-Beaune)
white,6.8,0.27,0.22,8.1,0.034,55.0,203.0,0.9961,3.19,0.52,8.9,5,Comartin 2014 Cuvée Cassidy G-S-M (Santa Ynez Valley)
white,6.7,0.27,0.31,15.7,0.036,44.0,179.0,0.9979,3.26,0.56,9.6,5,Château la Mascaronne 2015 Quat'Saisons Rosé (Côtes de Provence)
white,8.2,0.23,0.4,1.2,0.027,36.0,121.0,0.992,3.12,0.38,10.7,6,Le Fonti a San Giorgio 2013  Chianti
white,7.1,0.37,0.67,10.5,0.045,49.0,155.0,0.9975,3.16,0.44,8.7,5,Marqués de Cáceres 2011 Rosé (Rioja)
white,6.8,0.19,0.36,1.9,0.035,30.0,96.0,0.9917,3.15,0.54,10.8,7,Maddalena 2006 Sauvignon Blanc (Paso Robles)
white,8.1,0.28,0.39,1.9,0.029,18.0,79.0,0.9923,,0.52,11.8,6,Château Doisy-Védrines 2014  Barsac
white,6.3,0.31,0.34,2.2,0.045,20.0,77.0,0.9927,3.3,0.43,10.2,5,Zenato 2011 Sergio Zenato Riserva  (Lugana)
white,7.1,0.37,0.67,10.5,0.045,49.0,155.0,0.9975,3.16,0.44,8.7,5,Fetzer 2015 Sundial Chardonnay (California)
white,7.9,0.21,0.4,1.2,0.039,38.0,107.0,0.992,3.21,0.54,10.8,6,Martin & Weyrich 1997 Ueberroth Vineyard Zinfandel (Paso Robles)
white,8.5,0.21,0.41,4.3,0.036,24.0,99.0,0.9947,3.18,0.53,9.7,6,Dunham 2009 Lewis Vineyard Cabernet Sauvignon (Columbia Valley (WA))
white,8.1,0.2,0.4,2.0,0.037,19.0,87.0,0.9921,3.12,0.54,11.2,6,Terlato 2011 Pinot Grigio (Russian River Valley)
white,6.3,0.255,0.37,1.1,0.04,37.0,114.0,0.9905,3.0,0.39,10.9,6,Abacela 2009 Dolcetto (Umpqua Valley)
white,5.6,0.16,0.27,1.4,0.044,53.0,168.0,0.9918,3.28,0.37,10.1,6,Tenute Cisa Asinari dei Marchesi di Gresy 2013 Martinenga  (Barbaresco)
white,6.4,0.595,0.14,5.2,0.058,15.0,97.0,0.9951,3.38,0.36,9.0,4,Domaine Pral 2014 Les Pays de Pierres Dorées  (Beaujolais)
white,6.3,0.34,0.33,4.6,0.034,19.0,80.0,0.9917,3.38,0.58,12.0,7,Domaine de Nalys 2014 White (Châteauneuf-du-Pape)
white,6.9,0.25,0.3,4.1,0.054,23.0,116.0,0.994,2.99,0.38,9.4,6,Quinta do Casal Branco 2015 Terra de Lobos Red (Tejo)
white,7.9,0.22,0.38,8.0,0.043,46.0,152.0,0.9934,3.12,0.32,11.5,7,Cardinal Zin 2007 Beastly Old Vines Zinfandel (California)
white,7.6,0.18,0.46,10.2,0.055,58.0,135.0,0.9968,3.14,0.43,9.9,6,Des Voigne Cellars 2010 The Groove Red Red (Columbia Valley (WA))
white,6.9,0.25,0.3,4.1,0.054,23.0,116.0,0.994,2.99,0.38,9.4,6,Le Jaja de Jau 2008 Rosé Syrah (Vin de Pays d'Oc)
white,7.2,0.18,0.41,1.2,0.048,41.0,97.0,0.9919,3.14,0.45,10.4,5,Domaines Bunan 2010 Le Petit Rouvière Rosé (Vin de Pays Var)
white,8.2,0.23,0.4,7.5,0.049,12.0,76.0,0.9966,3.06,0.84,9.7,6,Lachini 2016 Rosé of Pinot Noir (Willamette Valley)
white,7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.9979,2.89,0.42,8.9,6,Doukénie 2012 Vintner's Reserve Red (Virginia)
white,7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.9979,2.89,0.42,8.9,6,Monteraponi 2010 Baron' Ugo Riserva  (Chianti Classico)
white,6.1,0.32,0.24,1.5,0.036,38.0,124.0,0.9898,3.29,0.42,12.4,7,Andrew Rich 2014 Croft Vineyard Sauvignon Blanc (Willamette Valley)
white,5.2,0.44,0.04,1.4,0.036,43.0,119.0,0.9894,3.36,0.33,12.1,8,Château Montaud 2014 Rosé (Côtes de Provence)
white,5.2,0.44,0.04,1.4,0.036,43.0,119.0,0.9894,3.36,0.33,12.1,8,Nefarious 2013 Madrona Hill Vineyard Pinot Noir (Willamette Valley)
white,6.1,0.32,0.24,1.5,0.036,38.0,124.0,0.9898,3.29,0.42,12.4,7,Gross 2014 Sulz Sauvignon (Südsteiermark)
white,6.4,0.22,0.56,14.5,0.055,27.0,159.0,0.998,2.98,0.4,9.1,5,DFJ Vinhos 2008 Fonte do Beco Castelão (Setubal)
white,6.3,0.36,0.3,4.8,0.049,14.0,85.0,0.9932,3.28,0.39,10.6,5,Flying Dreams 2011 Monastrell (Columbia Valley (WA))
white,7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.9979,2.89,0.42,8.9,6,Brooklyn Oenology 2012 Motley Cru Red (North Fork of Long Island)
white,6.7,0.24,0.35,13.1,0.05,64.0,205.0,0.997,3.15,0.5,9.5,5,Domaine Bousquet 2015 Reserve Pinot Gris (Tupungato)
white,7.0,0.23,0.36,13.0,0.051,72.0,177.0,0.9972,3.16,0.49,9.8,5,La Forge Estate 2010 Unfiltered Pinot Noir (Pays d'Oc)
white,8.4,0.27,0.46,8.7,0.048,39.0,197.0,0.9974,3.14,0.59,9.6,6,Clos des Justices 2012  Bordeaux
white,6.7,0.46,0.18,2.4,0.034,25.0,98.0,0.9896,3.08,0.44,12.6,7,Abadia Retuerta 2010 Selección Especial Red (Vino de la Tierra de Castilla y León)
white,7.5,0.29,0.31,8.95,0.055,20.0,151.0,0.9968,3.08,0.54,9.3,5,Adastra 2004 Merlot (Carneros)
white,9.8,0.42,0.48,9.85,0.034,5.0,110.0,0.9958,2.87,0.29,10.0,5,Dachshund 2014 Rosé Pinot Noir (Nahe)
white,7.1,0.3,0.46,1.5,0.066,29.0,133.0,0.9906,3.12,0.54,12.7,6,Cantine Barbera 2008 Inzolia (Sicilia)
white,7.9,0.19,0.45,1.5,0.045,17.0,96.0,0.9917,3.13,0.39,11.0,6,Ouled Thaleb 2011 Un-Oaked Chardonnay (Zenata)
white,7.6,0.48,0.37,0.8,0.037,4.0,100.0,0.9902,3.03,0.39,11.4,4,Lynmar 2012 Jenkins Vineyard Pinot Noir (Russian River Valley)
